Sl.No.,Symbol,Id
245,MAPMYINDIA,139116804
246,MARICO,136100356
247,MASTEK,134068228
248,MAXHEALTH,139064324
249,MAZDOCK,139068676
250,MCX,136727300
251,MEDANTA,139175428
252,METROBRAND,139117060
253,METROPOLIS,138918404
254,MFSL,128069380
255,MGL,138228996
256,MINDACORP,137974276
257,MMTC,131424516
258,MOTILALOFS,136420356
259,MPHASIS,134732548
260,MRF,128074244
261,MRPL,128027908
262,MSUMI,139135492
263,MUTHOOTFIN,136549892
264,NAM-INDIA,138436356
265,NATCOPHARM,134352900
266,NATIONALUM,136251908
267,NAVINFLUOR,136321028
268,NBCC,136783108
269,NCC,128075268
270,NETWEB,139249924
271,NETWORK18,136396292
272,NEWGEN,138470404
273,NH,138125060
274,NIACL,138436868
275,NLCINDIA,131502852
276,NMDC,134750980
277,NSLNISP,139204612
278,NUVAMA,139260932
279,NUVOCO,139093508
280,NYKAA,139106308
281,OBEROIRLTY,136517892
282,OFSS,136311300
283,OIL,136475140
284,OLECTRA,136304388
285,PAGEIND,136403716
286,PATANJALI,128094212
287,PAYTM,139109380
288,PCBL,129687044
289,PEL,128077316
290,PERSISTENT,136493828
291,PETRONET,136325636
292,PFIZER,128174084
293,PGHH,128117508
294,PHOENIXLTD,128793604
295,PIIND,134052356
296,PNBHOUSING,138284292
297,PNCINFRA,138022404
298,POLICYBZR,139107844
299,POLYCAB,138918916
300,POLYMED,136132612
301,POONAWALLA,134144004
302,POWERINDIA,139055876
303,PPLPHARMA,139170564
304,PRAJIND,133684484
305,PRESTIGE,136518148
306,PTCIL,137985540
307,PVRINOX,136368388
308,QUESS,138234372
309,RADICO,136319236
310,RAILTEL,139075844
311,RAINBOW,139142148
312,RAJESHEXPO,136064004
313,RAMCOCEM,128066564
314,RATNAMANI,133148420
315,RAYMOND,128084484
316,RBLBANK,138256644
317,RCF,134202884
318,REDINGTON,136398084
319,RENUKA,136363524
320,RHIM,136723460
321,RITES,138638340
322,RKFORGE,136326916
323,ROUTE,139066372
324,RRKABEL,139259140
325,RTNINDIA,136856836
326,RVNL,138918148
327,SAIL,128028932
328,SAMMAANCAP,137161988
329,SANOFI,128172548
330,SAPPHIRE,139109636
331,SAREGAMA,136233732
332,SBFC,139253508
333,SBICARD,139024900
334,SCHAEFFLER,129482244
335,SCHNEIDER,136739588
336,SCI,134041092
337,SHYAMMETL,139084548
338,SIGNATURE,139261444
339,SJVN,136500740
340,SKFINDIA,128120836
341,SOBHA,136392708
342,SOLARINDS,136377604
343,SONACOMS,139084804
344,SONATSOFTW,136248580
345,SPARC,136415236
346,SRF,128974340
347,STARHEALTH,139113476
348,SUMICHEM,138987524
349,SUNDARMFIN,151058180
350,SUNDRMFAST,128103172
351,SUNTV,136379652
352,SUPREMEIND,130542084
353,SUVENPHAR,139024388
354,SUZLON,136362756
355,SWANENERGY,128847364
356,SWSOLAR,138946564
357,SYNGENE,138052612
358,SYRMA,139154692
359,TANLA,136394244
360,TATACHEM,128197124
361,TATACOMM,128123652
362,TATAELXSI,128104452
363,TATAINVEST,128333060
364,TATATECH,139271172
